Designator,Footprint,Quantity,Value,LCSC Part #
BZ201,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"C101, C202, C301, C401, C501, C601, C701, C702, C703",0603,9,100n,C14663
C102,CP_Radial_D8.0mm_P2.50mm,1,10u,
"C201, C203, C302, C402, C502, C602",CP_Radial_D8.0mm_P2.50mm,6,100u,
"C303, C304, C403, C404, C503, C504, C603, C604",0805,8,2.2u,C377773
D101,D1X8K,1,D198K,
D201,0805,1,Yellow,C2296
J101,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J102,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J201, J301, J401, J501, J601",SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm,5,Conn_01x02_Socket,
"JP201, JP305, JP306, JP405, JP406, JP505, JP506, JP605, JP606",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,9,SolderJumper_2_Open,
"JP301, JP304, JP401, JP404, JP501, JP504, JP601, JP604",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,8,Rectangle Jumper Open,
"JP302, JP303, JP402, JP403, JP502, JP503, JP602, JP603",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,8,Round Jumper Open,
Q201,SOT-23,1,AO3401A,C15127
"Q301, Q401, Q501, Q601",SOT-23,4,AO3400A,C20917
"R101, R102, R103, R104, R105, R106, R107, R108",0603,8,330,C23138
"R201, R202, R205",0402,3,47k,C25792
"R203, R204",0603,2,300k,C23024
"R207, R302, R304, R402, R404, R502, R504, R602, R604, R701, R702, R705, R706, R709, R710, R713, R714",0402,17,10k,C25744
R208,0603,1,1k,C21190
"R301, R401, R501, R601",0402,4,12k,C25752
"R303, R403, R503, R603",2512,4,200m,C309648
"R703, R704, R707, R708, R711, R712, R715, R716",0402,8,200k,C25764
SW101,SW_PUSH_6mm,1,SW_Push,
"SW102, SW103",SW_CK_JS202011CQN_DPDT_Straight,2,SW_SPDT,
SW201,SW_Lever_1P2T_NKK_GW12LxH,1,SW_SPDT,
"TP201, TP202, TP301, TP302, TP303, TP304, TP401, TP402, TP403, TP404, TP501, TP502, TP503, TP504, TP601, TP602, TP603, TP604, TP701, TP702, TP703, TP704",TestPoint_THTPad_D1.5mm_Drill0.7mm,22,TestPoint,
U102,SO-16_3.9x9.9mm_P1.27mm,1,74HC595,C5947
U201,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS25200DRVR,C128401
"U301, U401, U501, U601",SOT-23-8_Handsoldering,4,AD5160BRJZ5,C578142
"U302, U402, U502, U602",DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,4,RT9187QV,C147970
U701,SO-16_3.9x9.9mm_P1.27mm,1,74HC4052,C11350
"U702, U703",SOIC-8_3.9x4.9mm_P1.27mm,2,TLV9002,C398360
